<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	09:12:14.736			14.065	3.00000000	120
2026.06.30	09:12:14.737			14.065	3.00000000	120
2026.06.30	09:12:14.740			14.065	9.00000000	120
2026.06.30	09:12:14.745			14.065	4.00000000	120
2026.06.30	09:12:14.745			14.065	5.00000000	120
2026.06.30	09:12:14.749			14.065	5.00000000	120
2026.06.30	09:12:16.651			14.065	14.00000000	120
2026.06.30	09:12:16.652			14.065	16.00000000	120
2026.06.30	09:12:16.656			14.065	24.00000000	120
2026.06.30	09:12:16.661			14.065	7.00000000	120
2026.06.30	09:12:16.661			14.065	7.00000000	120
2026.06.30	09:12:16.666			14.065	7.00000000	120
2026.06.30	09:12:16.666			14.065	7.00000000	120
2026.06.30	09:12:16.670			14.065	18.00000000	120
2026.06.30	09:12:16.675			14.065	14.00000000	120
2026.06.30	09:12:16.679			14.065	20.00000000	120
2026.06.30	09:12:16.680			14.065	6.00000000	120
2026.06.30	09:12:16.680			14.065	5.00000000	120
2026.06.30	09:12:16.684			14.065	13.00000000	120
2026.06.30	09:12:16.689			14.065	14.00000000	120
2026.06.30	09:12:16.693			14.065	14.00000000	120
2026.06.30	09:12:16.694			14.065	5.00000000	120
2026.06.30	09:12:16.698			14.065	20.00000000	120
2026.06.30	09:12:16.698			14.065	8.00000000	120
2026.06.30	09:12:16.699			14.065	3.00000000	120
2026.06.30	09:12:16.702			14.065	13.00000000	120
2026.06.30	09:12:16.707			14.065	10.00000000	120
2026.06.30	09:12:16.711			14.065	18.00000000	120
2026.06.30	09:12:16.711			14.065	5.00000000	120
2026.06.30	09:12:16.716			14.065	14.00000000	120
2026.06.30	09:12:16.720			14.065	9.00000000	120
2026.06.30	09:12:16.720			14.065	5.00000000	120
2026.06.30	09:12:16.724			14.065	18.00000000	120
2026.06.30	09:12:16.725			14.065	5.00000000	120
2026.06.30	09:12:16.729			14.065	14.00000000	120
2026.06.30	09:12:16.733			14.065	9.00000000	120
2026.06.30	09:12:16.734			14.065	5.00000000	120
2026.06.30	09:12:16.738			14.065	9.00000000	120
2026.06.30	09:12:16.742			14.065	5.00000000	120
2026.06.30	09:12:16.747			14.065	4.00000000	120
2026.06.30	09:12:16.747			14.065	5.00000000	120
2026.06.30	09:12:24.379			14.065	50.00000000	120
2026.06.30	09:12:24.383			14.065	1.00000000	120
2026.06.30	09:12:24.383			14.065	9.00000000	120
2026.06.30	09:12:24.396			14.065	1.00000000	120
2026.06.30	09:12:24.400			14.065	12.00000000	120
2026.06.30	09:12:24.401			14.065	6.00000000	120
2026.06.30	09:12:24.404			14.065	11.00000000	120
2026.06.30	09:12:24.421			14.065	15.00000000	120
2026.06.30	09:12:24.433	14.065				2
2026.06.30	09:12:28.642			14.070	11.00000000	56
2026.06.30	09:12:28.643			14.070	9.00000000	56
2026.06.30	09:12:28.646			14.070	51.00000000	56
2026.06.30	09:12:28.655			14.070	68.00000000	56
2026.06.30	09:12:28.661			14.070	69.00000000	56
2026.06.30	09:12:28.665			14.070	68.00000000	56
2026.06.30	09:12:28.668			14.070	64.00000000	56
2026.06.30	09:12:28.668			14.070	5.00000000	56
2026.06.30	09:12:28.672			14.070	35.00000000	56
2026.06.30	09:12:28.672			14.070	6.00000000	56
2026.06.30	09:12:38.396			14.065	250.00000000	88
2026.06.30	09:12:42.777			14.065	144.00000000	88
2026.06.30	09:12:42.780			14.065	6.00000000	88
2026.06.30	09:12:44.000	14.060				2
2026.06.30	09:12:47.206		14.065			4
2026.06.30	09:12:53.600			14.065	5.00000000	56
2026.06.30	09:12:53.603		14.070			4
2026.06.30	09:12:56.664		14.065			4
2026.06.30	09:12:57.000		14.070			4
2026.06.30	09:12:57.722		14.065			4
2026.06.30	09:13:00.588	14.060				2
2026.06.30	09:14:02.788	14.060	14.065			6
2026.06.30	09:14:41.789			14.060	650.00000000	88
2026.06.30	09:14:42.015	14.055				2
2026.06.30	09:14:42.015		14.060			4
2026.06.30	09:15:00.044	14.055				2
2026.06.30	09:15:01.534			14.055	18.00000000	88
2026.06.30	09:15:01.552			14.055	4.00000000	88
2026.06.30	09:15:01.556			14.055	9.00000000	88
2026.06.30	09:15:21.347			14.055	19.00000000	88
2026.06.30	09:15:43.367		14.060			4
2026.06.30	09:15:57.469			14.060	9.00000000	56
2026.06.30	09:15:57.470			14.060	320.00000000	56
2026.06.30	09:15:57.470			14.060	411.00000000	56
2026.06.30	09:15:57.470			14.060	254.00000000	56
2026.06.30	09:15:57.471			14.060	383.00000000	56
2026.06.30	09:15:57.497	14.060				2
2026.06.30	09:15:57.497		14.065			4
2026.06.30	09:16:02.431	14.060				2
2026.06.30	09:16:31.079			14.065	120.00000000	56
2026.06.30	09:16:31.085			14.065	7.00000000	56
2026.06.30	09:16:31.085			14.065	35.00000000	56
2026.06.30	09:16:31.085			14.065	50.00000000	56
2026.06.30	09:16:31.089			14.065	8.00000000	56
2026.06.30	09:16:31.090			14.065	3.00000000	56
2026.06.30	09:16:31.091			14.065	6.00000000	56
2026.06.30	09:16:31.099			14.065	7.00000000	56
2026.06.30	09:16:31.103			14.065	50.00000000	56
2026.06.30	09:16:31.104			14.065	42.00000000	56
2026.06.30	09:16:31.106			14.065	6.00000000	56
2026.06.30	09:16:31.107			14.065	16.00000000	56
2026.06.30	09:16:31.108			14.065	5.00000000	56
2026.06.30	09:16:31.111			14.065	10.00000000	56
2026.06.30	09:16:31.111			14.065	40.00000000	56
2026.06.30	09:16:31.111			14.065	70.00000000	56
2026.06.30	09:16:31.116			14.065	2.00000000	56
2026.06.30	09:16:31.165			14.065	1.00000000	56
2026.06.30	09:16:31.165			14.065	26.00000000	56
2026.06.30	09:16:31.379			14.065	7.00000000	56
2026.06.30	09:16:31.512			14.065	2.00000000	56
2026.06.30	09:16:31.512			14.065	18.00000000	56
2026.06.30	09:16:31.513			14.065	20.00000000	56
2026.06.30	09:16:31.539			14.065	10.00000000	56
2026.06.30	09:16:31.539	14.065				2
2026.06.30	09:16:31.539		14.070			4
2026.06.30	09:16:33.477			14.065	1.00000000	88
2026.06.30	09:16:33.480	14.060				2
2026.06.30	09:16:33.667		14.065			4
2026.06.30	09:16:39.249		14.070			4
2026.06.30	09:16:41.000		14.065			4
2026.06.30	09:17:00.112	14.060				2
2026.06.30	09:17:45.077		14.065			4
2026.06.30	09:17:55.275			14.060	19.00000000	88
2026.06.30	09:17:55.275			14.060	1.00000000	88
2026.06.30	09:17:55.446	14.055				2
2026.06.30	09:17:55.446		14.060			4
2026.06.30	09:18:00.962	14.055				2
2026.06.30	09:18:11.216			14.060	8.00000000	56
2026.06.30	09:18:11.245	14.060				2
2026.06.30	09:18:11.248		14.065			4
2026.06.30	09:18:41.167			14.060	2.00000000	88
2026.06.30	09:18:41.174			14.060	19.00000000	88
2026.06.30	09:18:41.176			14.060	17.00000000	88
2026.06.30	09:18:41.194			14.060	18.00000000	88
2026.06.30	09:18:41.194			14.060	24.00000000	88
2026.06.30	09:18:41.199			14.060	6.00000000	88
2026.06.30	09:18:41.200			14.060	1.00000000	88
2026.06.30	09:18:41.217	14.055				2
2026.06.30	09:18:41.217		14.060			4
2026.06.30	09:19:02.572			14.060	114.00000000	56
2026.06.30	09:19:02.777	14.060				2
2026.06.30	09:19:02.777		14.065			4
2026.06.30	09:19:20.924			14.060	1.00000000	88
2026.06.30	09:19:26.470			14.065	18.00000000	56
2026.06.30	09:19:26.481			14.065	1.00000000	56
2026.06.30	09:19:26.481			14.065	8.00000000	56
2026.06.30	09:19:26.484			14.065	2.00000000	56
2026.06.30	09:19:26.484			14.065	7.00000000	56
2026.06.30	09:19:26.485			14.065	55.00000000	56
2026.06.30	09:19:26.502			14.065	35.00000000	56
2026.06.30	09:19:26.502			14.065	70.00000000	56
2026.06.30	09:19:26.502			14.065	1.00000000	56
2026.06.30	09:19:26.502			14.065	10.00000000	56
2026.06.30	09:19:26.506			14.065	54.00000000	56
2026.06.30	09:19:26.523			14.065	21.00000000	56
2026.06.30	09:19:26.540			14.065	18.00000000	56
2026.06.30	09:19:26.555		14.070			4
2026.06.30	09:19:31.603			14.065	4.00000000	120
2026.06.30	09:19:35.000		14.065			4
2026.06.30	09:19:40.056		14.070			4
2026.06.30	09:19:52.827		14.065			4
2026.06.30	09:19:56.088		14.070			4
