<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	10:10:19.389			37.91	100.00000000	56
2026.06.30	10:10:19.729			37.91	100.00000000	56
2026.06.30	10:10:23.954			37.91	5000.00000000	56
2026.06.30	10:10:23.981			37.89	900.00000000	120
2026.06.30	10:10:24.143	37.89				2
2026.06.30	10:10:25.544			37.89	300.00000000	88
2026.06.30	10:10:25.544			37.88	400.00000000	88
2026.06.30	10:10:25.575			37.88	100.00000000	88
2026.06.30	10:10:25.575	37.88				2
2026.06.30	10:10:36.464	37.89				2
2026.06.30	10:10:39.116			37.91	600.00000000	56
2026.06.30	10:10:39.135			37.89	100.00000000	88
2026.06.30	10:10:39.201			37.91	2000.00000000	56
2026.06.30	10:10:39.212			37.89	400.00000000	88
2026.06.30	10:10:45.756			37.89	400.00000000	88
2026.06.30	10:10:45.788			37.89	100.00000000	88
2026.06.30	10:10:54.172			37.90	100.00000000	120
2026.06.30	10:10:58.921			37.91	100.00000000	56
2026.06.30	10:11:01.008	37.89				2
2026.06.30	10:11:02.082			37.89	500.00000000	88
2026.06.30	10:11:02.083			37.89	400.00000000	88
2026.06.30	10:11:02.102			37.89	100.00000000	88
2026.06.30	10:11:02.311			37.91	100.00000000	56
2026.06.30	10:11:02.315			37.89	100.00000000	88
2026.06.30	10:11:15.000	37.90				2
2026.06.30	10:11:18.595			37.90	400.00000000	88
2026.06.30	10:11:18.600			37.89	500.00000000	88
2026.06.30	10:11:18.602			37.90	100.00000000	88
2026.06.30	10:11:18.618			37.89	100.00000000	88
2026.06.30	10:11:18.618	37.89	37.91			6
2026.06.30	10:11:18.695		37.90			4
2026.06.30	10:11:18.891			37.90	1100.00000000	56
2026.06.30	10:11:18.921			37.89	2000.00000000	88
2026.06.30	10:11:18.955			37.89	400.00000000	88
2026.06.30	10:11:19.036			37.90	100.00000000	56
2026.06.30	10:11:19.118			37.90	900.00000000	56
2026.06.30	10:11:19.145			37.89	100.00000000	88
2026.06.30	10:11:19.342			37.90	500.00000000	56
